id;time;subscriber;aprefix;destination;invoice group;prefix;pbx;direction;volume/time(secs);price;free;forward;servingnetwork;reason;billed;zone
944079907;01-04-2019 08:10;4569804965;Danmark Fastnet;45226319XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
944080290;01-04-2019 08:12;4569804965;Danmark Fastnet;45226319XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
944081186;01-04-2019 08:16;4570200645;Danmark 70 nummer;45537471XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;300;2,05;no;0;;0;yes;Norden Mobil (DK)
944081865;01-04-2019 08:19;4569669632;Danmark Fastnet;45217924XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
944082140;01-04-2019 08:20;4578774477;Danmark Fastnet;45309104XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;0;0,05;no;0;;0;yes;Norden Mobil (DK)
944082838;01-04-2019 08:24;4569669632;Danmark Fastnet;45226342XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
944083756;01-04-2019 08:28;46840836381;Sweden;467689063XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;180;1,55;no;0;;0;yes;Norden Mobil
944086739;01-04-2019 08:40;4570200645;Danmark 70 nummer;467398885XX;Udland Mobil;Sweden-Mobile;rackpeoplehq-;ip-pstn;420;3,35;no;0;;0;yes;Norden Mobil
944090830;01-04-2019 08:57;4570200645;Danmark 70 nummer;45612256XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
944093082;01-04-2019 09:05;4569804965;Danmark Fastnet;45887004XX;Danmark;Danmark Fastnet;rackpeoplehq-;ip-pstn;360;0,35;no;0;;0;yes;Norden (DK)
944094378;01-04-2019 09:09;4570200645;Danmark 70 nummer;45612256XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
944099684;01-04-2019 09:28;46840836382;Sweden;461051106XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
944099928;01-04-2019 09:29;46840308799;Sweden;467934156XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
944100411;01-04-2019 09:31;4569804979;Danmark Fastnet;45207598XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
944101229;01-04-2019 09:34;4569804965;Danmark Fastnet;45881354XX;Danmark;Danmark Fastnet;rackpeoplehq-;ip-pstn;60;0,1;no;0;;0;yes;Norden (DK)
944101633;01-04-2019 09:35;46840308799;Sweden;467099321XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;180;1,55;no;0;;0;yes;Norden Mobil
944101930;01-04-2019 09:36;4578772918;Danmark Fastnet;45219000XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
944102012;01-04-2019 09:37;46840836386;Sweden;46402230XX;Udland;Sweden;firebrand-;ip-pstn;240;0,48;no;0;;0;yes;Norden
944102698;01-04-2019 09:39;46840836388;Sweden;467223270XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
944102845;01-04-2019 09:40;46840308799;Sweden;467086528XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
944102859;01-04-2019 09:40;46840836382;Sweden;467367840XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
944102975;01-04-2019 09:40;4578772922;Danmark Fastnet;45278030XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;180;1,25;no;0;;0;yes;Norden Mobil (DK)
944103147;01-04-2019 09:41;46840838262;Sweden;467689063XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
944103158;01-04-2019 09:41;46840836388;Sweden;467016606XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
944103344;01-04-2019 09:41;46840836382;Sweden;461046000XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
944103375;01-04-2019 09:42;46840308799;Sweden;467601366XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;120;1,1;no;0;;0;yes;Norden Mobil
944103382;01-04-2019 09:42;46840838262;Sweden;464062856XX;Udland;Sweden;firebrand-;ip-pstn;120;0,34;no;0;;0;yes;Norden
944104019;01-04-2019 09:44;46840836382;Sweden;467063510XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
944104120;01-04-2019 09:44;46840836382;Sweden;47464273XX;Udland Mobil;Norway-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
944104162;01-04-2019 09:44;4578772916;Danmark Fastnet;45278534XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;180;1,25;no;0;;0;yes;Norden Mobil (DK)
944104773;01-04-2019 09:47;4578772922;Danmark Fastnet;45702924XX;Danmark 70 nummer;Danmark 70 nummer;firebrand-;ip-pstn;60;0,1;no;0;;0;yes;Norden (DK)
944104811;01-04-2019 09:47;46840836384;Sweden;467308733XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
