id;time;subscriber;aprefix;destination;invoice group;prefix;pbx;direction;volume/time(secs);price;free;forward;servingnetwork;reason;billed;zone
954185162;01-05-2019 07:45;4578772915;Danmark Fastnet;45446012XX;Danmark;Danmark Fastnet;firebrand-;ip-pstn;60;0,1;no;0;;0;yes;Norden (DK)
954192652;01-05-2019 08:34;4569669632;Danmark Fastnet;45881354XX;Danmark;Danmark Fastnet;rackpeoplehq-;ip-pstn;2100;1,8;no;0;;0;yes;Norden (DK)
954195740;01-05-2019 08:50;4569669638;Danmark Fastnet;45263710XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;0;0,05;no;0;;0;yes;Norden Mobil (DK)
954195780;01-05-2019 08:50;4578772913;Danmark Fastnet;45311013XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;0;0,05;no;0;;0;yes;Norden Mobil (DK)
954196400;01-05-2019 08:53;4578772922;Danmark Fastnet;45309800XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
954196659;01-05-2019 08:54;4533456546;Danmark Fastnet;45402600XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;960;6,45;no;0;;0;yes;Norden Mobil (DK)
954196931;01-05-2019 08:56;4578772922;Danmark Fastnet;45446844XX;Danmark;Danmark Fastnet;firebrand-;ip-pstn;360;0,35;no;0;;0;yes;Norden (DK)
954197604;01-05-2019 08:59;4578772913;Danmark Fastnet;467343313XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;300;2,45;no;0;;0;yes;Norden Mobil
954200333;01-05-2019 09:10;4578772922;Danmark Fastnet;45422145XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;180;1,25;no;0;;0;yes;Norden Mobil (DK)
954200885;01-05-2019 09:13;4578772918;Danmark Fastnet;45208491XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
954202503;01-05-2019 09:19;4578772918;Danmark Fastnet;45417302XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;180;1,25;no;0;;0;yes;Norden Mobil (DK)
954203494;01-05-2019 09:23;4570200645;Danmark 70 nummer;45887784XX;Danmark;Danmark Fastnet;rackpeoplehq-gtsnordic;ip-pstn;60;0,1;no;0;;0;yes;Norden (DK)
954204488;01-05-2019 09:27;4578772918;Danmark Fastnet;45212881XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
954204749;01-05-2019 09:28;4570200645;Danmark 70 nummer;45506935XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
954205960;01-05-2019 09:33;4578772918;Danmark Fastnet;45413714XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
954206102;01-05-2019 09:34;4578772916;Danmark Fastnet;45233800XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
954206805;01-05-2019 09:36;4570200645;Danmark 70 nummer;45298401XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;0;0,05;no;0;;0;yes;Norden Mobil (DK)
954207196;01-05-2019 09:38;4570200645;Danmark 70 nummer;45298401XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;0;0,05;no;0;;0;yes;Norden Mobil (DK)
954207252;01-05-2019 09:38;4578772916;Danmark Fastnet;45416004XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;0;0,05;no;0;;0;yes;Norden Mobil (DK)
954208453;01-05-2019 09:43;4570200645;Danmark 70 nummer;45209375XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
954208851;01-05-2019 09:45;4578772918;Danmark Fastnet;45206557XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
954210049;01-05-2019 09:49;4570200645;Danmark 70 nummer;45408679XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;240;1,65;no;0;;0;yes;Norden Mobil (DK)
954211859;01-05-2019 09:56;4578772918;Danmark Fastnet;45282648XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;180;1,25;no;0;;0;yes;Norden Mobil (DK)
954212925;01-05-2019 10:00;4570200645;Danmark 70 nummer;45537304XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;240;1,65;no;0;;0;yes;Norden Mobil (DK)
954214348;01-05-2019 10:05;4570200645;Danmark 70 nummer;45405345XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;300;2,05;no;0;;0;yes;Norden Mobil (DK)
954217040;01-05-2019 10:16;4578772918;Danmark Fastnet;45306727XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
