id;time;subscriber;aprefix;destination;invoice group;prefix;pbx;direction;volume/time(secs);price;free;forward;servingnetwork;reason;billed;zone
965739078;01-06-2019 11:32;46840836387;Sweden;467367712XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
965745256;01-06-2019 13:53;46840836385;Sweden;467388021XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;120;1,1;no;0;;0;yes;Norden Mobil
965751014;01-06-2019 16:44;46840836387;Sweden;467388021XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;120;1,1;no;0;;0;yes;Norden Mobil
965751141;01-06-2019 16:49;46840836387;Sweden;467388021XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
965927931;02-06-2019 13:11;46840836387;Sweden;467367712XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
966262817;03-06-2019 08:20;4578774477;Danmark Fastnet;45309104XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;0;0,05;no;0;;0;yes;Norden Mobil (DK)
966264661;03-06-2019 08:29;4569804978;Danmark Fastnet;45271240XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
966266735;03-06-2019 08:38;4569804965;Danmark Fastnet;45308036XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
966266966;03-06-2019 08:39;4578774477;Danmark Fastnet;45309104XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;0;0,05;no;0;;0;yes;Norden Mobil (DK)
966267406;03-06-2019 08:41;46840836384;Sweden;467314721XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;180;1,55;no;0;;0;yes;Norden Mobil
966267552;03-06-2019 08:42;4578772913;Danmark Fastnet;45316945XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
966268314;03-06-2019 08:45;46840836384;Sweden;467053685XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
966268672;03-06-2019 08:47;46840836384;Sweden;46403685XX;Udland;Sweden;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden
966269059;03-06-2019 08:49;46840836384;Sweden;467041057XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;360;2,9;no;0;;0;yes;Norden Mobil
966269796;03-06-2019 08:52;4578774477;Danmark Fastnet;45309104XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;0;0,05;no;0;;0;yes;Norden Mobil (DK)
966271957;03-06-2019 09:00;4569804979;Danmark Fastnet;45292901XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;240;1,65;no;0;;0;yes;Norden Mobil (DK)
966272040;03-06-2019 09:00;46840836384;Sweden;468553810XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
